Name                                                     o0-A        o0-C        o1-A        o1-C        o2-A        o2-C
01-counter::Counter                                       176           3         110           2         110           2
02-greeter::Greeter                                       126           3          88           2          88           2
03-logic-sig-gate::LogicSigGate                            28           -          25           -          25           -
04-type-explorer::TypeExplorer                            216           3         125           2         125           2
05-membership-registry::MembershipRegistry                208           3         142           2         140           2
06-key-value-store::KeyValueStore                         706           3         470           2         474           2
07-array-playground::ArrayPlayground                      904           3         544           2         564           2
08-object-tuples::ObjectTuples                            622           3         355           2         355           2
09-token-manager::TokenManager                            495           3         374           2         374           2
10-multi-txn-distributor::MultiTxnDistributor             404           3         275           2         281           2
11-contract-factory::GreeterChild                         113           3          62           2          62           2
11-contract-factory::GreeterFactory                       319           3         185           2         185           2
12-event-logger::EventLogger                              380           3         261           2         261           2
13-inheritance-showcase::AuditedProcessor                  41           3          23           2          23           2
13-inheritance-showcase::Describable                       85           3          52           2          52           2
13-inheritance-showcase::InheritanceShowcase              184           3         130           2         117           2
13-inheritance-showcase::MultiInheritanceShowcase         181           3         107           2         107           2
13-inheritance-showcase::Pausable                          93           3          49           2          44           2
13-inheritance-showcase::Versioned                        112           3          68           2          68           2
14-crypto-vault::CryptoVault                              308           3         221           2         221           2
15-dex-pool::DexPool                                      789           3         643           2         643           2
16-governance-dao::GovernanceDao                          738           3         482           2         497           2
